,text,cleared_text,target
0,Наши дела - причина этого землетрясения. Пусть АЛЛАХ простит нам всех.,дело причина землетрясение пусть аллах простить,1
1,"Лесной пожар возле Ла Ронге Саск, Канада",лесной пожар возле ла ронге саск канада,1
2,"Офицеры уведомляют всех жителей, которых просят укрыться на месте. Никаких других приказов об эвакуации или укрытии на месте не ожидается.",офицер уведомлять житель просить укрыться место никакой других приказ эвакуация укрытие место ожидаться,1
3, человек получили приказ об эвакуации из-за лесных пожаров в Калифорнии,человек получить приказ эвакуация лесной пожар калифорния,1
4,"Только что получил эту фотографию с Руби, Аляска, когда в школу вливается дым от лесных пожаров.",получить фотография руби аляска школа вливаться дым лесной пожар,1
5,Обновление  => Калифорнийское шоссе  закрыто в обоих направлениях из-за пожара в округе Лейк.,обновление = > калифорнийский шоссе закрыть оба направление пожар округ лейк,1
6,"стихийное бедствие из-за наводнения Сильный дождь вызвал внезапное затопление улиц в районах Маниту, Колорадо-Спрингс",стихийный бедствие наводнение сильный дождь вызвать внезапный затопление улица район маниту колорадо спрингс,1
7,Я на вершине холма и вижу огонь в лесу,вершина холм видеть огонь лес,1
8,Сейчас в доме через дорогу происходит экстренная эвакуация.,сейчас дом через дорога происходить экстренный эвакуация,1
9,"Боюсь, что торнадо приближается к нам",бояться торнадо приближаться,1
10,Пока что от жары погибли три человека,пока жара погибнуть три человек,1
11,Ха-ха Южная Тампа затопляется ха- ПОДОЖДИТЕ ВТОРОЙ Я ЖИВУ В ЮЖНОЙ ТАМПА ЧТО Я ДЕЛАТЬ ЧТО Я СОБИРАЮСЬ ЗАТЕМНИТЬ,ха ха южный тампа затопляется ха- подождите втора живу южной тампа делать собираюсь затемнить,1
12,дождь наводнение Флорида    или  дней Я сбился со счета,дождь наводнение флорида день сбиться со счёт,1
13,Наводнение в Баго Мьянма Мы прибыли в Баго,наводнение баго мьянма прибыть баго,1
14,Повреждение школьного автобуса на -м в результате автокатастрофы ,повреждение школьный автобус -м результат автокатастрофа,1
15,Как дела чувак,дело чувак,0
16,Я люблю фрукты,любить фрукт,0
17,Лето прекрасное,лето прекрасное,0
18,Моя машина такая быстрая,машина быстрый,0
20,это нелепо,нелепый,0
21,Лондон крутой,лондон крутой,0
22,Люблю кататься на лыжах,любить кататься лыжа,0
23,Какой чудесный день,какой чудесный день,0
25,Ни за что я не могу съесть это дерьмо,ни съесть дерьмо,0
26,Был в Нью-Йорке на прошлой неделе,нью йорк прошлый неделя,0
27,Люблю мою девушку,любить девушка,0
29,Ты любишь пасту?,любить паста,0
30,Конец,конец,0
31, Оптовые рынки пылают ,оптовый рынок пылать,1
32,Мы всегда стараемся привнести хэви-метал  ,всегда стараться привнести хэви метал,0
33, Последние новости В Абе подожжен флаг Нигерии ,последний новость аба поджечь флаг нигерия,1
34,"Взывая о большем, подожги меня",взывая больший подожги,0
35,С положительной стороны ПОСМОТРЕТЬ НЕБО В ПРОШЛЮ НОЧЬЮ ЭТО БЫЛО ГОРЕЛА ,положительный сторона посмотреть небо прошлю ночью горела,0
36,"  они создали столько ажиотажа вокруг новых приобретений, но я сомневаюсь, что они зажгут  в этом сезоне",создать столько ажиотаж вокруг новый приобретение сомневаться зажечь сезон,0
37,Подожгли офис  в Абии ,поджечь офис абии,1
38,Барбадос Бриджтаун ЯМАЙКА ‰ ÛÒ Подожжены две машины САНТА-КРУС ‰ ÛÓ Начальник полиции Сент-Элизабет ,барбадос бриджтаун ямайка поджечь два машина санта крус начальник полиция сент элизабет,1
39,Пылает для тебя Господь: ,пылать господь,0
40,Посмотрите их     ,посмотреть,0
41,"снаружи ты пылаешь и жив
 но ты мертв внутри",снаружи пылать живой мёртвый внутри,0
42,"Отлично провели время, посетив головной офис , сайт  и загорелся. Спасибо Тите Вида за заботу о нас.",отлично провести время посетить головной офис сайт загореться спасибо тите вида забота,0
43,ТАК НАКАЧАЕТСЯ ДЛЯ  ,накачается,0
44,"Я хотел поджечь Чикаго своей проповедью, но не мой отель ",хотеть поджечь чикаго проповедь отель,0
45,За последнюю неделю у меня появилось  подписчика. Вы знаете свою статистику и растете с ,последний неделя появиться подписчик знать статистика растете,0
46,Как сгорел Запад Тысячи лесных пожаров пылают только в Калифорнии ,сгореть запад тысяча лесной пожар пылать калифорния,1
47,"Создайте идеальный треклист для жизни, оставьте улицы пылающими",создайте идеальный треклист жизнь оставить улица пылать,0
48,Посмотрите их     ,посмотреть,0
49,"Первая ночь с фиксаторами в одежде. Это довольно странно. Лучше привыкнуть к этому. Я должен носить их каждую ночь в течение следующего года, по крайней мере.",первый ночь фиксатор одежда довольно странный лучше привыкнуть должный носить каждый ночь течение следующий год крайний мера,0
50,Депутат Человек застрелен перед поджогом дома в Брайтоне ,депутат человек застрелить перед поджог дом брайтон,1
51,"Муж жене получил шесть лет тюрьмы за поджог племянницы
 ",муж жена получить шесть год тюрьма поджог племянница,1
52,САНТА-КРУС ‰ ÛÓ Глава суперинтенданта полиции Сент-Элизабет Лэнфорд Сэлмон имеет   ,санта крус глава суперинтендант полиция сент элизабет лэнфорд сэлмон иметь,0
53,Поджигатель полиции намеренно установил черную церковь в Северной Каролине  ,поджигатель полиция намеренно установить чёрный церковь северный каролина,1
54,Ночес Эль Бестия  рад видеть моих товарищей по команде и усердно тренировать стрелков на ночь ,ночес эль бестия рад видеть товарищ команда усердно тренировать стрелок ночь,0
55,"Курды, топтавшие туркменский флаг, позже подожгли его, в то время как другие разгромили офисы Туркменского фронта в Дияле ",курд топтавшие туркменский флаг позже поджечь время другие разгромить офис туркменский фронт дияле,1
56,     СНАРУЖИ ИЛИ ТАМБО ВНУТРЕННИЙ ГРУЗОВЫЙ РАЗДЕЛ ,снаружи тамбо внутренний грузовый раздел,1
57,"Поджечь наши сердца, и каждый город был подарком И каждый горизонт был как поцелуй в губы @ ‰ Û ",поджечь сердце каждый город подарок каждый горизонт поцелуй губа,0
58,"Сегодня вечером в Лос-Анджелесе небо пылало пламенем. Я ожидаю, что  и  будут заполнены снимками заката, если я знаю свои взгляды.",сегодня вечер лос анджелес небо пылало пламя ожидать заполнить снимок закат знать взгляд,0
59,Как сгорел Запад Тысячи пожаров пылают только в Калифорнии  энергия климата ,сгореть запад тысяча пожар пылать калифорния энергия климат,1
60,Наслаждайтесь своими -видео с помощью     на пути к  ,наслаждаться -видео помощь путь,0
61,"Прогрессивные приветствия

 Примерно через месяц студенты бы подожгли свои ручки в    ",прогрессивный приветствие примерно через месяц студент поджечь ручка,0
62,  и        марта  г. ,март г,0
63,"@  Стив, вот эти пожары - это что-то еще. Калифорния - пороховая бочка, и этот клоун поджег мой капюшон @ ",стив пожар калифорния пороховой бочка клоун поджечь капюшон,1
65, Огромный пожар на оптовых рынках ,огромный пожар оптовый рынок,1
66,", во сколько уходит ваш разговор, пока я не знаю, смогу ли я это сделать из-за работы",сколько уходить ваш разговор пока знать смочь ли сделать работа,0
67,"У меня нет детей, потому что я попал в аварию на велосипеде и разбил себе яички, и я не могу иметь детей МАЙКЛ, ТЫ ОТЕЦ",ребёнок потому попасть авария велосипед разбить яички иметь ребёнок майкл отец,0
68,ДТП на -  в Нэшвилле Трафик движется на  м медленнее обычного ,дтп нэшвилле трафик двигаться м медленнее обычный,1
69,Центральная полоса аварии заблокирована в Санта-Кларе на шоссе -  перед      ,центральный полоса авария заблокировать санта кларе шоссе перед,1
70," Этим летом произошел несчастный случай с личной травмой. Прочтите наш совет и узнайте, как адвокат может помочь ",лето произойти несчастный случай личной травма прочесть совет узнайте адвокат помочь,0
71,  Ускорение среди основных причин подростковых аварий   Футболка с автомобильной аварией ‰ Û,ускорение среди основный причина подростковый авария футболка автомобильный авария,0
72,Сообщается о дорожно-транспортном происшествии в Карри на Херман-роуд возле Стефенсона с перевернутым автомобилем. Используйте ,сообщаться дорожный транспортный происшествие карри херман роуд возле стефенсона перевернуть автомобиль использовать,1
73,Осведомленность о происшествиях в режиме реального времени ,осведомлённость происшествие режим реальный время,1
74,"-       Автомобильная авария Пандус закрыт  августа, :",автомобильный авария пандус закрыть август,1
75,  Снотворное удваивает риск автомобильной аварии ,снотворное удваивать риск автомобильный авария,0
76,"Случайно они узнали, что должно было случиться ",случайно узнать должный случиться,0
77,ДТП       // ::,дтп,1
78,"Маркер - с  по  миль, Южный Мурсвилл, Иредель, ДТП, затор,  августа, :",маркер миля южный мурсвилл иредель дтп затор август,1
79,"на месте аварии не было пастора, который был владельцем  ",место авария пастор владелец,1
80,"мама, мы не добрались домой так быстро, как нам хотелось
 мне почему это
 мама там произошла авария и какой-то грузовик залил майонезом",мама добраться домой быстро хотеться почему мама там произойти авария какой грузовик залить майонез,0
81,"В прошлое воскресенье я попал в ужасную автомобильную аварию. Я наконец-то смог обойти. Спасибо, БОГ.",прошлый воскресенье попасть ужасный автомобильный авария наконец смочь обойти спасибо бог,1
82,"Могу дождаться, чтобы увидеть, как разозлится Донни, когда я скажу ему, что попал в ЕЩЕ ОДИН ДТП.",дождаться увидеть разозлиться донни сказать попасть дтп,0
83," перевернулся на межштатной автомагистрали   Щелкните здесь, если вы попали в аварию & ; : //. ",перевернуться межштатный автомагистраль щелкните здесь попасть авария,1
84,Авария в Эшвилле на    перед движением   ,авария эшвилле перед движение,1
85,"Авария в Каролине Мотоциклист погиб в результате аварии на трассе - на автомобиле, который пересек срединную границу Мотоциклист путешествует ",авария каролина мотоциклист погибнуть результат авария трасса автомобиль пересечь срединный граница мотоциклист путешествовать,1
86,   АВАРИЙНЫЙ УЩЕРБ ИМУЩЕСТВУ; ;     ,аварийный ущерб имуществу,1
87,"  Первая авария за многие годы Когда я повернулся к Чандани Магу из-за того, что рядом со мной ММА Такси врезалось в меня, когда я был на полпути Все, конф Û",первый авария многие год повернуться чандани маг рядом со мма такси врезаться полпути конф,1
88,Авария заблокирована левая полоса движения в Манчестере на    перед остановкой   и возвращением на - с задержкой в ​​ минуты трафика.,авария заблокировать левый полоса движение манчестер перед остановка возвращение задержка ​​ минута трафик,1
89,АВАРИЙНЫЙ УЩЕРБ ИМУЩЕСТВА    ,аварийный ущерб имущества,1
90,это была авария ,авария,0
91,   АВАРИЙНЫЙ УЩЕРБ ИМУЩЕСТВА; ;    ,аварийный ущерб имущества,1
92," августа  г. в :  ДТП БЕЗ ТРАВМ,     ",август г дтп без травм,1
93,Актриса Аашики Ану Аггарвал о ее почти смертельной аварии ,актриса аашики ану аггарвал почти смертельный авария,1
94,"Несчастный случай в Саффилде, Альберта ",несчастный случай саффилде альберт,1
95,"-мильная подпорка на южной автостраде -, блокирующая  правые полосы на выезде  Лангтри-роуд, рассматривайте   или   -   в качестве запасных.",-мильная подпорка южный автострада блокировать правый полоса выезд лангтри роуд рассматривать качество запасной,1
96,"Несчастный случай изменил вашу жизнь? Мы поможем вам определить варианты, которые могут финансово поддержать планы по уходу за жизнью и лечение",несчастный случай изменить ваш жизнь помочь определить вариант финансово поддержать план уход жизнь лечение,0
