,text,cleared_text,target
0,Наши дела - причина этого землетрясения. Пусть АЛЛАХ простит нам всех.,наш дело причина этот землетрясение пусть аллах простить нам всех,1
1,"Лесной пожар возле Ла Ронге Саск, Канада",лесной пожар возле ла ронге саск канада,1
2,"Офицеры уведомляют всех жителей, которых просят укрыться на месте. Никаких других приказов об эвакуации или укрытии на месте не ожидается.",офицер уведомлять весь житель которых просить укрыться на место никакой других приказ об эвакуация или укрытие на место не ожидаться,1
3, человек получили приказ об эвакуации из-за лесных пожаров в Калифорнии,человек получить приказ об эвакуация из за лесной пожар в калифорния,1
4,"Только что получил эту фотографию с Руби, Аляска, когда в школу вливается дым от лесных пожаров.",только что получить этот фотография с руби аляска когда в школа вливаться дым от лесной пожар,1
5,Обновление  => Калифорнийское шоссе  закрыто в обоих направлениях из-за пожара в округе Лейк.,обновление = > калифорнийский шоссе закрыть в оба направление из за пожар в округ лейк,1
6,"стихийное бедствие из-за наводнения Сильный дождь вызвал внезапное затопление улиц в районах Маниту, Колорадо-Спрингс",стихийный бедствие из за наводнение сильный дождь вызвать внезапный затопление улица в район маниту колорадо спрингс,1
7,Я на вершине холма и вижу огонь в лесу,я на вершина холм и видеть огонь в лес,1
8,Сейчас в доме через дорогу происходит экстренная эвакуация.,сейчас в дом через дорога происходить экстренный эвакуация,1
9,"Боюсь, что торнадо приближается к нам",бояться что торнадо приближаться к нам,1
10,Пока что от жары погибли три человека,пока что от жара погибнуть три человек,1
11,Ха-ха Южная Тампа затопляется ха- ПОДОЖДИТЕ ВТОРОЙ Я ЖИВУ В ЮЖНОЙ ТАМПА ЧТО Я ДЕЛАТЬ ЧТО Я СОБИРАЮСЬ ЗАТЕМНИТЬ,ха ха южный тампа затопляется ха- подождите втора я живу в южной тампа что я делать что я собираюсь затемнить,1
12,дождь наводнение Флорида    или  дней Я сбился со счета,дождь наводнение флорида или день я сбиться со счёт,1
13,Наводнение в Баго Мьянма Мы прибыли в Баго,наводнение в баго мьянма мы прибыть в баго,1
14,Повреждение школьного автобуса на -м в результате автокатастрофы ,повреждение школьный автобус на -м в результат автокатастрофа,1
15,Как дела чувак,как дело чувак,0
16,Я люблю фрукты,я любить фрукт,0
17,Лето прекрасное,лето прекрасное,0
18,Моя машина такая быстрая,мой машин такой быстрый,0
19,Что ,что,0
20,это нелепо,это нелепый,0
21,Лондон крутой,лондон крутой,0
22,Люблю кататься на лыжах,любить кататься на лыжа,0
23,Какой чудесный день,какой чудесный день,0
25,Ни за что я не могу съесть это дерьмо,ни за что я не мочь съесть этот дерьмо,0
26,Был в Нью-Йорке на прошлой неделе,был в нью йорк на прошлый неделя,0
27,Люблю мою девушку,любить мой девушка,0
29,Ты любишь пасту?,ты любить паста,0
30,Конец,конец,0
31, Оптовые рынки пылают ,оптовый рынок пылать,1
32,Мы всегда стараемся привнести хэви-метал  ,мы всегда стараться привнести хэви метал,0
33, Последние новости В Абе подожжен флаг Нигерии ,последний новость в аба поджечь флаг нигерия,1
34,"Взывая о большем, подожги меня",взывая о больший подожги меня,0
35,С положительной стороны ПОСМОТРЕТЬ НЕБО В ПРОШЛЮ НОЧЬЮ ЭТО БЫЛО ГОРЕЛА ,с положительный сторона посмотреть небо в прошлю ночью это было горела,0
36,"  они создали столько ажиотажа вокруг новых приобретений, но я сомневаюсь, что они зажгут  в этом сезоне",они создать столько ажиотаж вокруг новый приобретение но я сомневаться что они зажечь в этот сезон,0
37,Подожгли офис  в Абии ,поджечь офис в абии,1
38,Барбадос Бриджтаун ЯМАЙКА ‰ ÛÒ Подожжены две машины САНТА-КРУС ‰ ÛÓ Начальник полиции Сент-Элизабет ,барбадос бриджтаун ямайка поджечь два машина санта крус начальник полиция сент элизабет,1
39,Пылает для тебя Господь: ,пылать для тебя господь,0
40,Посмотрите их     ,посмотреть их,0
41,"снаружи ты пылаешь и жив
 но ты мертв внутри",снаружи ты пылать и живой но ты мёртвый внутри,0
42,"Отлично провели время, посетив головной офис , сайт  и загорелся. Спасибо Тите Вида за заботу о нас.",отлично провести время посетить головной офис сайт и загореться спасибо тите вида за забота о нас,0
43,ТАК НАКАЧАЕТСЯ ДЛЯ  ,так накачается для,0
44,"Я хотел поджечь Чикаго своей проповедью, но не мой отель ",я хотеть поджечь чикаго свой проповедь но не мой отель,0
45,За последнюю неделю у меня появилось  подписчика. Вы знаете свою статистику и растете с ,за последний неделя у меня появиться подписчик вы знать свой статистика и растете с,0
46,Как сгорел Запад Тысячи лесных пожаров пылают только в Калифорнии ,как сгореть запад тысяча лесной пожар пылать только в калифорния,1
47,"Создайте идеальный треклист для жизни, оставьте улицы пылающими",создайте идеальный треклист для жизнь оставить улица пылать,0
48,Посмотрите их     ,посмотреть их,0
49,"Первая ночь с фиксаторами в одежде. Это довольно странно. Лучше привыкнуть к этому. Я должен носить их каждую ночь в течение следующего года, по крайней мере.",первый ночь с фиксатор в одежда это довольно странный лучше привыкнуть к это я должный носить их каждый ночь в течение следующий год по крайний меря,0
50,Депутат Человек застрелен перед поджогом дома в Брайтоне ,депутат человек застрелить перед поджог дом в брайтон,1
51,"Муж жене получил шесть лет тюрьмы за поджог племянницы
 ",муж жена получить шесть год тюрьма за поджог племянница,1
52,САНТА-КРУС ‰ ÛÓ Глава суперинтенданта полиции Сент-Элизабет Лэнфорд Сэлмон имеет   ,санта крус глава суперинтендант полиция сент элизабет лэнфорд сэлмон иметь,0
53,Поджигатель полиции намеренно установил черную церковь в Северной Каролине  ,поджигатель полиция намеренно установить чёрный церковь в северный каролина,1
54,Ночес Эль Бестия  рад видеть моих товарищей по команде и усердно тренировать стрелков на ночь ,ночес эль бестия рад видеть мой товарищ по команда и усердно тренировать стрелок на ночь,0
55,"Курды, топтавшие туркменский флаг, позже подожгли его, в то время как другие разгромили офисы Туркменского фронта в Дияле ",курд топтавшие туркменский флаг позже поджечь его в тот время как другие разгромить офис туркменский фронт в дияле,1
56,     СНАРУЖИ ИЛИ ТАМБО ВНУТРЕННИЙ ГРУЗОВЫЙ РАЗДЕЛ ,снаружи или тамбо внутренний грузовый раздел,1
57,"Поджечь наши сердца, и каждый город был подарком И каждый горизонт был как поцелуй в губы @ ‰ Û ",поджечь наш сердце и каждый город был подарок и каждый горизонт был как поцелуй в губа,0
58,"Сегодня вечером в Лос-Анджелесе небо пылало пламенем. Я ожидаю, что  и  будут заполнены снимками заката, если я знаю свои взгляды.",сегодня вечер в лос анджелес небо пылало пламя я ожидать что и будут заполнить снимок закат если я знать свой взгляд,0
59,Как сгорел Запад Тысячи пожаров пылают только в Калифорнии  энергия климата ,как сгореть запад тысяча пожар пылать только в калифорния энергия климат,1
60,Наслаждайтесь своими -видео с помощью     на пути к  ,наслаждаться свой -видео с помощь на путь к,0
61,"Прогрессивные приветствия

 Примерно через месяц студенты бы подожгли свои ручки в    ",прогрессивный приветствие примерно через месяц студент бы поджечь свой ручка в,0
62,  и        марта  г. ,и март г,0
63,"@  Стив, вот эти пожары - это что-то еще. Калифорния - пороховая бочка, и этот клоун поджег мой капюшон @ ",стив вот этот пожар это что то еще калифорния пороховой бочка и этот клоун поджечь мой капюшон,1
64,   и     ,и,0
65, Огромный пожар на оптовых рынках ,огромный пожар на оптовый рынок,1
66,", во сколько уходит ваш разговор, пока я не знаю, смогу ли я это сделать из-за работы",во сколько уходить ваш разговор пока я не знать смочь ли я это сделать из за работа,0
67,"У меня нет детей, потому что я попал в аварию на велосипеде и разбил себе яички, и я не могу иметь детей МАЙКЛ, ТЫ ОТЕЦ",у меня нет ребёнок потому что я попасть в авария на велосипед и разбить себя яички и я не мочь иметь ребёнок майкл ты отец,0
68,ДТП на -  в Нэшвилле Трафик движется на  м медленнее обычного ,дтп на в нэшвилле трафик двигаться на м медленнее обычный,1
69,Центральная полоса аварии заблокирована в Санта-Кларе на шоссе -  перед      ,центральный полоса авария заблокировать в санта кларе на шоссе перед,1
70," Этим летом произошел несчастный случай с личной травмой. Прочтите наш совет и узнайте, как адвокат может помочь ",этот лето произойти несчастный случай с личной травма прочесть наш совет и узнайте как адвокат мочь помочь,0
71,  Ускорение среди основных причин подростковых аварий   Футболка с автомобильной аварией ‰ Û,ускорение среди основной причина подростковый авария футболка с автомобильный авария,0
72,Сообщается о дорожно-транспортном происшествии в Карри на Херман-роуд возле Стефенсона с перевернутым автомобилем. Используйте ,сообщаться о дорожный транспортный происшествие в карри на херман роуд возле стефенсона с перевернуть автомобиль использовать,1
73,Осведомленность о происшествиях в режиме реального времени ,осведомлённость о происшествие в режим реальный время,1
74,"-       Автомобильная авария Пандус закрыт  августа, :",автомобильный авария пандус закрыть август,1
75,  Снотворное удваивает риск автомобильной аварии ,снотворное удваивать риск автомобильный авария,0
76,"Случайно они узнали, что должно было случиться ",случайно они узнать что должный было случиться,0
77,ДТП       // ::,дтп,1
78,"Маркер - с  по  миль, Южный Мурсвилл, Иредель, ДТП, затор,  августа, :",маркёр с по миля южный мурсвилл иредель дтп затор август,1
79,"на месте аварии не было пастора, который был владельцем  ",на место авария не быть пастор который был владелец,1
80,"мама, мы не добрались домой так быстро, как нам хотелось
 мне почему это
 мама там произошла авария и какой-то грузовик залил майонезом",мама мы не добраться домой так быстро как нам хотеться мне почему это мама там произойти авария и какой то грузовик залить майонез,0
81,"В прошлое воскресенье я попал в ужасную автомобильную аварию. Я наконец-то смог обойти. Спасибо, БОГ.",в прошлый воскресенье я попасть в ужасный автомобильный авария я наконец то смочь обойти спасибо бог,1
82,"Могу дождаться, чтобы увидеть, как разозлится Донни, когда я скажу ему, что попал в ЕЩЕ ОДИН ДТП.",мочь дождаться чтобы увидеть как разозлиться донни когда я сказать ему что попасть в еще один дтп,0
83," перевернулся на межштатной автомагистрали   Щелкните здесь, если вы попали в аварию & ; : //. ",перевернуться на межштатный автомагистраль щелкните здесь если вы попасть в авария,1
84,Авария в Эшвилле на    перед движением   ,авария в эшвилле на перед движение,1
85,"Авария в Каролине Мотоциклист погиб в результате аварии на трассе - на автомобиле, который пересек срединную границу Мотоциклист путешествует ",авария в каролина мотоциклист погибнуть в результат авария на трасса на автомобиль который пересечь срединный граница мотоциклист путешествовать,1
86,   АВАРИЙНЫЙ УЩЕРБ ИМУЩЕСТВУ; ;     ,аварийный ущерб имуществу,1
87,"  Первая авария за многие годы Когда я повернулся к Чандани Магу из-за того, что рядом со мной ММА Такси врезалось в меня, когда я был на полпути Все, конф Û",первый авария за многие год когда я повернуться к чандани маг из за того что рядом со мной мма такси врезаться в меня когда я был на полпути все конф,1
88,Авария заблокирована левая полоса движения в Манчестере на    перед остановкой   и возвращением на - с задержкой в ​​ минуты трафика.,авария заблокировать левый полоса движение в манчестер на перед остановка и возвращение на с задержка в ​​ минута трафик,1
89,АВАРИЙНЫЙ УЩЕРБ ИМУЩЕСТВА    ,аварийный ущерб имущества,1
90,это была авария ,это была авария,0
91,   АВАРИЙНЫЙ УЩЕРБ ИМУЩЕСТВА; ;    ,аварийный ущерб имущества,1
92," августа  г. в :  ДТП БЕЗ ТРАВМ,     ",август г в дтп без травм,1
93,Актриса Аашики Ану Аггарвал о ее почти смертельной аварии ,актриса аашики ану аггарвал о её почти смертельный авария,1
94,"Несчастный случай в Саффилде, Альберта ",несчастный случай в саффилде альберт,1
95,"-мильная подпорка на южной автостраде -, блокирующая  правые полосы на выезде  Лангтри-роуд, рассматривайте   или   -   в качестве запасных.",-мильная подпорка на южный автострада блокировать правый полоса на выезд лангтри роуд рассматривать или в качество запасной,1
96,"Несчастный случай изменил вашу жизнь? Мы поможем вам определить варианты, которые могут финансово поддержать планы по уходу за жизнью и лечение",несчастный случай изменить ваш жизнь мы помочь вам определить вариант которые мочь финансово поддержать план по уход за жизнь и лечение,0
97,"ПЕРЕРЫВ сегодня в Хагерстауне произошла смертельная авария на мотоцикле, произошедшая с автомобилем. Более подробную информацию я расскажу на  @  .",перерыв сегодня в хагерстауне произойти смертельный авария на мотоцикл произойти с автомобиль более подробный информация я рассказать на,1
98, это ты мариновал или это было случайно,это ты мариновать или это было случайно,0
99,"у меня была машина не больше недели, и я попал в чертову автомобильную аварию      ",у меня быть машин не больше неделя и я попасть в чертову автомобильный авария,1
100,". @  Бахрейнские полицейские ранее погибли в результате дорожно-транспортного происшествия, они не были убиты взрывом ",бахрейнский полицейский ранее погибнуть в результат дорожный транспортный происшествие они не были убить взрыв,1
101,"Я до сих пор не слышал, чтобы церковные лидеры Кении выступили с комментариями по поводу аварии и дисциплинарных мерах # ",я до сей пора не слышать чтобы церковный лидер кения выступить с комментариями по повод авария и дисциплинарный мера,0
102,    и игра ,и игра,0
103,"Человек, который сможет двигаться дальше, когда усилия станут болезненными, - это тот, кто победит.
 Роджер Баннистер",человек который смочь двигаться дальше когда усилие стать болезненный это тот кто победить роджер баннистер,0
104, ИК   |  |  |       ‰ Û ,ик | | |,0
105,Нет победы по бросовым ценам подвала Дуайт Дэвид Эйзенхауэр,нет победа по бросовый цена подвал дуайт дэвид эйзенхауэр,0
106, ИК   |  |  |       ‰ Û ,ик | | |,0
107,"Никто не помнит, кто занял второе место Чарльз Шульц",никто не помнить кто занять второй место чарльз шульц,0
108," Я говорю от кого-то, кто использует  на , большинство из них, в конечном итоге, также получат ",я говорить от кто то кто использовать на большинство из них в конечный итог также получить,0
109,"Чем сложнее конфликт, тем славнее триумф Томаса Пейна",чем сложный конфликт тем славнее триумф томас пейна,0
110, собирается стрелять по глиняным голубям и плакать из-за афтершока.,собираться стрелять по глиняный голубям и плакать из за афтершок,0
111,"Так что я думаю, что никому на самом деле не нужен бесплатный  .",так что я думать что никто на самом дело не нужный бесплатный,0
112,"Афтершок был самым ужасающим из лучших американских горок, на которых я когда-либо был. ОТКАЗ ОТ ОТВЕТСТВЕННОСТИ Я был на очень немногих",афтершок был самым ужасать из хороший американский горка на которых я когда либо быть отказ от ответственности я был на очень немногих,0
113,Афтершок ,афтершок,0
114, ИК   |  |  |       ‰ Û ,ик | | |,0
115, ИК   |  |  |       ‰ Û ,ик | | |,0
116, ИК   |  |  |       ‰ Û ,ик | | |,0
117, Я вижу их и выпуски на афтершоке,я видеть их и выпуск на афтершок,0
118, ИК   |  |  |       ‰ Û ,ик | | |,0
119, ИК   |  |  |       ‰ Û ,ик | | |,0
120," БОНУС -минутные ежедневные привычки, которые действительно могут улучшить вашу жизнь Сколько вы уже делаете лайфхаки ",бонус -минутные ежедневный привычка которые действительно мочь улучшить ваш жизнь сколько вы уже делать лайфхак,0
121, Защитите себя и прибыль в следующем глобальном финансовом кризисе Дэвид Видемер  ,защитите себя и прибыль в следующий глобальный финансовый кризис дэвид видемер,0
122,"В тот момент, когда вы попадаете на страшные американские горки, а парень позади вас просто кричит кровавое убийство  ",в тот момент когда вы попадать на страшный американский горки а парень позади вас просто кричать кровавый убийство,0
123, ã ¢   ã ¢   ,ã ¢ ã ¢,0
124,"; &  Афтершок за  долларов: защитите себя и прибыль в следующей книге о глобальных финансах 
 ",афтершок за доллар защитить себя и прибыль в следующий книга о глобальный финансах,0
125,"Иногда вы сталкиваетесь с трудностями не потому, что делаете что-то не так, а потому, что делаете что-то правильно Джоэл Остин",иногда вы сталкиваться с трудность не потому что делать что то не так а потому что делать что то правильно джоэл остин,0
126,"Единственное, что стоит между вами и вашей мечтой, - это желание попробовать и вера в то, что это действительно возможно. Джоэл Браун",единственный что стоить между вами и ваш мечта этот желание попробовать и вера в то что это действительно возможный джоэл браун,0
127,"Слава Богу за то, что у нас есть служение, которое говорит об этом так, как будто оно сейчас является изучением Библии ",слава бог за то что у нас быть служение которое говорить об это так как будто оно сейчас являться изучение библия,0
128,"Память о том, что ты умрешь, - это лучший из известных мне способов избежать ловушки мысли, что тебе есть что терять ‰ Стив Джобс",память о том что ты умрешь это хороший из известный мне способ избежать ловушка мысль что тебе быть что терять стив джобс,0
129,"Сегодня попробовал апельсиновый афтершок, Моя жизнь никогда не будет прежней.",сегодня попробовать апельсиновый афтершок мой жизнь никогда не будет прежний,0
130, я люблю тебя ,я любить тебя,0
131,Афтершок ,афтершок,0
132,"Афтершок, возвращение в школу, было отличным началом, я хочу поблагодарить всех за то, что сделали это возможным. Какая отличная ночь",афтершок возвращение в школа было отличный начало я хотеть поблагодарить всех за то что сделать это возможный какой отличный ночь,0
133,"Люди, которые говорят, что это невозможно сделать, не должны перебивать тех, кто это делает ‰ ÛÒ Джордж Бернард Шоу",человек которые говорить что это невозможный сделать не должный перебивать тот кто это делать джордж бернард шоу,0
134,"Первый получает устрицу, второй получает раковину Эндрю Карнеги",первый получать устрица второй получать раковина эндрю карнеги,0
135,Кому-нибудь понадобится   сегодня вечером Я играю в      @    @  @  ,кто нибудь понадобиться сегодня вечер я играть в,0
136,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французские эксперты по авиационным происшествиям   ",эксперт во франция приступить к изучение обломок самолёт обнаружить на остров реюньон французский эксперт по авиационный происшествие,1
137,Строгая ответственность в случае авиакатастрофы Ошибка пилота является частым компонентом большинства авиационных . ://./............................................................................................................................................................................................................,строгий ответственность в случай авиакатастрофа ошибка пилот являться частый компонент большинство авиационный,1
138,: ваши шансы умереть в авиакатастрофе -  из ,ваш шанс умереть в авиакатастрофа из,0
139,"Французские эксперты приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французские эксперты по авиационным происшествиям на сайте  ",французский эксперт приступить к изучение обломок самолёт обнаружить на остров реюньон французский эксперт по авиационный происшествие на сайт,1
140,"  они попали в авиакатастрофу, и они собираются умереть, какие милашки, хорошая работа",они попасть в авиакатастрофа и они собираться умереть какой милашка хороший работа,1
141,"члены семьи Усамы бен Ладена погибли в авиакатастрофе, как иронично я подозреваю, что правительство дерьмо",член семья усама бен ладен погибнуть в авиакатастрофа как иронично я подозревать что правительство дерьмо,1
142,Человек попал в аварию с двигателем самолета  через ,человек попасть в авария с двигатель самолёт через,1
143,Ужасная авария мужчина погиб в крыльях самолета    ,ужасный авария мужчина погибнуть в крыло самолёт,1
144," июля  г. в результате крушения самолета  в Окампо-Коауила, Мексика, погибли четыре человека, в том числе правительственный чиновник штата Коауила.",июль г в результат крушение самолёт в окампо коауила мексика погибнуть четыре человек в тот число правительственный чиновник штат коауила,1
145,Ужасная авария Мужчина погиб в крыльях самолета     ,ужасный авария мужчина погибнуть в крыло самолёт,1
146,"Эксперты во Франции начинают изучать обломки самолетов, обнаруженные на острове Реюньон  Французские эксперты по авиационным происшествиям в среду ‰ Û",эксперт во франция начинать изучать обломок самолёт обнаружить на остров реюньон французский эксперт по авиационный происшествие в среда,1
147,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. В среду французские эксперты по авиационным происшествиям приступили к изучению обломков самолетов.",эксперт во франция приступить к изучение обломок самолёт обнаружить на остров реюньон в среда французский эксперт по авиационный происшествие приступить к изучение обломок самолёт,1
148,"     Члены семьи, погибшие в авиакатастрофе",член семья погибнуть в авиакатастрофа,1
149,"Я чуть не отправил коллеге обнаженные фотографии случайно, слава богу, за режим полета",я чуть не отправить коллега обнажить фотография случайно слава бог за режим полёт,0
150,  Это или они могут быть убиты в авиакатастрофе ночью в автокатастрофе Политика в лучшем виде,это или они мочь быть убить в авиакатастрофа ночь в автокатастрофа политик в хороший вид,0
151,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французские эксперты по авиационным происшествиям на сайте  .",эксперт во франция приступить к изучение обломок самолёт обнаружить на остров реюньон французский эксперт по авиационный происшествие на сайт,1
152,"Это невероятно безумие
 человек аэропорт самолет самолет самолет взлетно-посадочная полоса авария причудливый ‰ Û ",это невероятно безумие человек аэропорт самолёт самолёт самолёт взлетно посадочный полоса авария причудливый,1
153,Ужасная авария | Мужчина погиб в крыльях самолета (   ,ужасный авария | мужчина погибнуть в крыло самолёт,1
154,Ужасная авария Мужчина погиб в крыльях самолета    ,ужасный авария мужчина погибнуть в крыло самолёт,1
155,Семья Усамы бен Ладинса погибла в авиакатастрофе Естественно не случайно,семья усама бен ладинса погибнуть в авиакатастрофа естественно не случайно,1
156,Пилот погиб в авиакатастрофе на автомобильном фестивале  через        ,пилот погибнуть в авиакатастрофа на автомобильный фестиваль через,1
157,Строгая ответственность в случае авиакатастрофы ,строгий ответственность в случай авиакатастрофа,1
158,"Французские эксперты   приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французская авиакатастрофа  ",французский эксперт приступить к изучение обломок самолёт обнаружить на остров реюньон французский авиакатастрофа,1
159,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французские эксперты по авиационным происшествиям на сайте  ",эксперт во франция приступить к изучение обломок самолёт обнаружить на остров реюньон французский эксперт по авиационный происшествие на сайт,1
160,Ужасная авария Человек погиб в крыльях ‰ ÛÏ самолета ‰ Û       ‰ Ûª    ‰ ÛÒ ,ужасный авария человек погибнуть в крыло самолёт,1
161,"+ Николь Флетчер одна из жертв авиакатастрофы несколько раз назад

 Несчастный случай оставил для нее небольшую травму. Хотя она

 +",+ николь флетчер одна из жертва авиакатастрофа несколько раз назад несчастный случай оставить для нее небольшой травма хотя она +,1
162, Ужасный несчастный мужчина погиб в крыльях самолета ,ужасный несчастный мужчина погибнуть в крыло самолёт,1
163,", я не верю этому , братан
 Авиакатастрофа     ",я не верить это братан авиакатастрофа,1
164,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. В среду французские эксперты по авиационным происшествиям приступили к изучению обломков самолетов.",эксперт во франция приступить к изучение обломок самолёт обнаружить на остров реюньон в среда французский эксперт по авиационный происшествие приступить к изучение обломок самолёт,1
165,Я попал в авиакатастрофу,я попасть в авиакатастрофа,1
166,"Мой телефон выглядит так, как будто он попал в аварию на автомобиле, корабле, самолете Ужасно",мой телефон выглядеть так как будто он попасть в авария на автомобиль корабль самолёт ужасно,0
167,"По статистике, я больше подвержен риску быть убитым копом, чем погибнуть в авиакатастрофе.",по статистика я больше подверженный риск быть убить копом чем погибнуть в авиакатастрофа,0
168,самолет разбился у дома в Колумбии В результате аварии погибло  человек ,самолёт разбиться у дом в колумбия в результат авария погибнуть человек,1
169,Стрельба или авиакатастрофа ,стрельба или авиакатастрофа,1
170,"Может ли дрон стать причиной авиакатастрофы. Пилоты обеспокоены использованием дронов, особенно в непосредственной близости от аэропортов ",мочь ли дрон стать причина авиакатастрофа пилот обеспокоить использование дрон особенно в непосредственный близость от аэропорт,1
171,"Ранний звонок от моей сестры, умоляющий меня приехать и поехать с ней в машине скорой помощи в больницу ",ранний звонок от мой сестра умолять меня приехать и поехать с ней в машина скорый помощь в больница,1
172," В результате крушения пакистанского вертолета санитарной авиации погибло, как опасаются,  человек ",в результат крушение пакистанский вертолёт санитарный авиация погибнуть как опасаться человек,1
